sector,code,name,price_now,close_latest,pct_120d,pct_60d,trend,ma_order,dist_ma20_pct,dist_ma60_pct,bb_pos_pct,rsi14,atr_pct,vol_ratio,entry_low,entry_high,entry_aggressive,risk_level,risk_reasons,supports,entry_discount
光通信,603083,剑桥科技,214.54,214.54,100,100,强上升,mixed,10.5,32.2,90.7,52.6,7.14,0,165.54,208.1,177.42,高,近120日高位; 远离MA20; 极度缩量; 高波动,MA20=194.09 | MA40=186.37 | MA60=162.29 | BB下轨=168.97,22.8
半导体封装及设备,002156,通富微电,68.27,68.27,81.6,79.9,上升,mixed,3.9,24.3,64,52.6,6.57,0,56.03,66.22,59.33,高,近120日高位; 极度缩量; 高波动,MA20=65.69 | MA40=60.43 | MA60=54.93 | BB下轨=56.50,17.9
半导体封装及设备,002185,华天科技,19.61,19.61,82.2,81.4,上升,mixed,8,33.2,74.4,51.3,6.35,0,15.02,19.02,15.97,高,近120日高位; 极度缩量; 高波动,MA20=18.16 | MA40=15.99 | MA60=14.73 | BB下轨=15.21,23.4
半导体封装及设备,600584,长电科技,83.03,83.03,90,89.7,上升,mixed,6.6,45.7,74,51,6.7,0,58.15,80.54,70.52,高,近120日高位; 极度缩量; 高波动,MA20=77.88 | MA40=64.97 | MA60=57.01 | BB下轨=67.17,30
半导体封装及设备,000021,深科技,44.04,44.04,100,100,强上升,mixed,11.1,32.8,92.8,59,6.47,0,33.83,42.72,36.21,高,近120日高位; 远离MA20; 极度缩量; 高波动,MA20=39.63 | MA40=35.87 | MA60=33.17 | BB下轨=34.48,23.2
半导体封装及设备,002119,康强电子,34.51,34.51,100,100,上升,bullish,27.5,47.3,93.6,83.7,6.71,0,23.9,33.47,19.45,高,近120日高位; 远离MA20; RSI超买; 极度缩量; 高波动,MA20=27.07 | MA40=24.64 | MA60=23.43 | BB下轨=18.53,30.7
半导体封装及设备,002371,北方华创,721.04,721.04,100,100,强上升,bullish,11.6,30.6,97.7,66.7,4.87,0,562.93,699.41,596.21,高,近120日高位; 远离MA20; 极度缩量,MA20=646.27 | MA40=598.74 | MA60=551.89 | BB下轨=567.82,21.9
半导体封装及设备,002409,雅克科技,150.16,150.16,100,100,上升,bullish,22.6,49.3,100.3,77.6,6.39,0,102.58,145.66,99.83,高,近120日高位; 远离MA20; RSI超买; 接近20日高点; 极度缩量; 高波动,MA20=122.53 | MA40=109.61 | MA60=100.57 | BB下轨=95.07,31.7
半导体封装及设备,002436,兴森科技,52.06,52.06,100,100,上升,bullish,31.1,68.3,125.1,73.2,7.03,0,31.55,50.5,33.05,高,近120日高位; 远离MA20; RSI超买; 接近20日高点; 极度缩量; 高波动,MA20=39.70 | MA40=35.29 | MA60=30.93 | BB下轨=31.48,39.4
半导体封装及设备,600206,有研新材,42.51,42.51,100,100,上升,bullish,34.3,55.7,111.5,81,6.28,0,27.85,41.23,23.97,高,近120日高位; 远离MA20; RSI超买; 极度缩量; 高波动,MA20=31.66 | MA40=30.31 | MA60=27.31 | BB下轨=22.83,34.5
存储,603986,兆易创新,629,629,100,100,上升,bullish,24.4,68.7,124.4,75.6,6,0,380.23,610.13,443.73,高,近120日高位; 远离MA20; RSI超买; 极度缩量; 高波动,MA20=505.58 | MA40=426.98 | MA60=372.77 | BB下轨=422.60,39.6
有色金属,600111,北方稀土,51.4,51.4,36,48.9,上升,mixed,3.8,2.6,81.3,58.6,4.58,0,50.51,49.86,48.85,低,极度缩量,MA20=49.52 | MA40=50.71 | MA60=50.10 | BB下轨=46.53,1.7
有色金属,000878,云南铜业,18.66,18.66,20.6,60.8,上升,mixed,5.7,1.5,76.7,55.6,5.01,0,18.01,18.1,16.57,高,极度缩量; 高波动,MA20=17.66 | MA40=18.38 | MA60=18.38 | BB下轨=15.78,3.5
有色金属,603993,洛阳钼业,20.04,20.04,36.4,81.1,强上升,mixed,6.2,7.2,74.4,57.4,5.85,0,19.07,19.44,17.3,高,极度缩量; 高波动,MA20=18.87 | MA40=18.96 | MA60=18.70 | BB下轨=16.48,4.8
有色金属,600362,江西铜业,53.31,53.31,43.4,100,上升,mixed,18.7,17.7,115.4,66.9,5.36,0,45.83,51.71,40.45,高,远离MA20; 接近20日高点; 极度缩量; 高波动,MA20=44.93 | MA40=45.62 | MA60=45.31 | BB下轨=38.52,14
有色金属,002378,章源钨业,37.11,37.11,74.4,92.3,震荡偏多,bullish,18,17.5,93.7,74.3,7.49,0,32.07,36,26.2,高,远离MA20; RSI超买; 极度缩量; 高波动,MA20=31.44 | MA40=31.54 | MA60=31.58 | BB下轨=24.95,13.6
有色金属,600497,驰宏锌锗,10.28,10.28,79.1,84.3,强上升,mixed,8.2,13.7,78.3,57.5,5.67,0,9.22,9.97,8.52,高,极度缩量; 高波动,MA20=9.50 | MA40=9.53 | MA60=9.04 | BB下轨=8.12,10.3
有色金属,601958,金钼股份,27.7,27.7,91.6,89.5,强上升,mixed,14.8,30.3,83.8,62.3,6.76,0,21.68,26.87,19.79,高,近120日高位; 远离MA20; 极度缩量; 高波动,MA20=24.13 | MA40=22.43 | MA60=21.26 | BB下轨=18.85,21.7
