factor,horizon,ic_mean,ic_std,icir,n_days
low_vol_streak,10d,0.09536348152542443,0.22877013823131812,0.416852838673371,272
rsi_14,10d,-0.07508119410953416,0.2636288414738633,-0.28479886225566053,338
mom_20,10d,-0.039395826845219556,0.23991557191744517,-0.16420704387948457,338
rev_5,10d,0.07896071539796234,0.26462525676950777,0.2983869202883314,338
turnover_5,10d,-0.05455799261467277,0.24757777045281437,-0.22036708915702483,338
bb_position,10d,-0.06804733727810651,0.2624467682661836,-0.2592805304010841,338
atr_14,10d,0.05249366018596787,0.24656683997266043,0.2128982964286212,338
upper_shadow,10d,-0.013266247872146544,0.25412894285228155,-0.05220282161980214,338
rank_lu_streak,10d,0.01741825061710501,0.26866902724800423,0.06483162869766336,337
rank_lu_vol_intensity,10d,-0.04672699155438224,0.25772861655571355,-0.18130307832650472,337
rank_lu_seal_quality,10d,-0.024852546990382616,0.2604238484902538,-0.09543114862352058,337
rank_lu_amplitude,10d,-0.035884512417701526,0.2640888249396193,-0.13588046531656944,337
rank_lu_turnover_intensity,10d,-0.046888856948714405,0.25796999491596495,-0.1817608941845686,337
rank_lu_streak_quality,10d,0.023519140763806425,0.26712559724045726,0.08804525289515892,337
rank_lu_board_strength,10d,-0.02662263040330279,0.26371446676851956,-0.10095248368255547,337
rank_volume,10d,-0.058522044756862575,0.24603990827702527,-0.23785590381122432,338
rank_turnover,10d,-0.11075766338924231,0.23937499507377308,-0.46269520905935835,338
rank_close,10d,0.03965883251076492,0.25843128742786303,0.15345987285628118,338
sector_ret_mean,10d,0.004518805710506858,0.23316161381642847,0.019380573142132134,338
sector_excess_ret,10d,0.029234099155487463,0.25929926428160527,0.11274269997055805,338
sector_rank_pct,10d,0.006794453293754484,0.2635549079367229,0.02578002947069295,338
is_sector_leader,10d,-0.053634916280367304,0.2495997237648695,-0.21488371650159765,234
ret_fwd_5d,10d,0.7383592116385638,0.12846279795594354,5.7476500853716805,338
ret_fwd_10d,10d,1.0,0.0,,338
ret_fwd_20d,10d,0.764574546121401,0.12881343292945144,5.935518747801273,328
lu_streak,20d,-0.009269956048555647,0.2559935098909141,-0.036211683852867334,327
lu_count_5d,20d,-0.08558474337602871,0.23565220464643302,-0.3631824429753926,328
lu_count_20d,20d,-0.023613861075152925,0.2423276599090887,-0.09744599970144502,328
lu_count_60d,20d,0.00012005325723155521,0.217498624845041,0.0005519724886402768,328
lu_max_streak_20d,20d,-0.07757453793263851,0.22231425758507592,-0.3489409036348109,328
lu_max_streak_60d,20d,-0.07718195125042124,0.1942164581703081,-0.3974017031179742,328
lu_days_since_last,20d,0.0429342945995302,0.24694973225352326,0.17385843753599636,328
lu_first_board,20d,0.005299390311007354,0.23257401651665938,0.02278582272593532,148
lu_is_second_board,20d,0.01617098433981682,0.24175187715852223,0.06689083257547215,224
lu_freq_accel,20d,-0.0741994595206901,0.2344889292395425,-0.316430544338797,328
lu_seal_quality,20d,-0.0937685456773013,0.35445123249789273,-0.2645456894492778,10
lu_vol_intensity,20d,-0.17506558067782557,0.31258594262049577,-0.5600558336379481,49
lu_open_strength,20d,-0.0015620270101215793,0.3108067455584937,-0.005025717853435734,49
lu_body_ratio,20d,0.054723923742781504,0.3266423366892776,0.16753469344311692,26
lu_upper_shadow_ratio,20d,0.083972496536314,0.3565056430388823,0.2355432464421202,6
lu_amplitude,20d,-0.031022650294775522,0.2880880556403812,-0.10768461131030345,49
lu_intraday_reversal,20d,-0.083972496536314,0.3565056430388823,-0.2355432464421202,6
lu_volume_climax,20d,-0.12870843642152166,0.31576278734298874,-0.40761116122817737,49
lu_streak_quality,20d,-0.003850739990185325,0.256412414061176,-0.015017759589699892,327
lu_turnover_intensity,20d,-0.1780809326727694,0.3121875698171034,-0.5704292863969536,49
lu_excess_return_5d,20d,-0.11326274765650515,0.3240014115744487,-0.34957485865915666,49
lu_relative_strength_20d,20d,-0.011422061332025316,0.29966171443137424,-0.03811651866738916,49
lu_is_yiziban,20d,0.0651492691369644,0.2638379142440891,0.2469291395196965,177
lu_is_strong_board,20d,-0.004645385173703992,0.2483490022098341,-0.01870506880385624,321
lu_board_strength,20d,0.02875292183679083,0.35882781893388965,0.08013013573534626,48
mfi_14,20d,-0.09301126740811858,0.23292241734578906,-0.39932295254362343,328
force_index,20d,-0.10463506326792592,0.242442323309369,-0.4315874466126368,328
eom_14,20d,0.016508654167700452,0.23767966420770234,0.06945757948090145,328
vpt_divergence,20d,-0.0008710801393728206,0.22139216285904062,-0.003934557249560064,328
money_flow_pressure,20d,-0.10012326599347197,0.22866098504062962,-0.4378677279627811,328
