日期,排名,代码,名称,T日价,评分,T+1,T+2,T+3,T+4,T+5
2026-03-18,1,600791,京能置业,9.3,83.7,-0.11%,-2.26%,-12.04%,-8.06%,-4.19%
2026-03-18,2,603115,海星股份,32.99,79.0,-0.88%,-3.46%,-2.97%,+6.73%,+10.12%
2026-03-18,3,002667,*ST威领,31.58,79.0,-10.01%,-10.96%,-16.88%,-11.91%,-11.75%
2026-03-18,4,603757,大元泵业,48.71,78.4,+1.52%,-3.20%,-11.72%,-10.63%,-9.42%
2026-03-18,5,600667,太极实业,11.66,78.1,-3.69%,-8.40%,-14.49%,-12.18%,-10.12%
2026-03-19,1,603629,利通电子,68.07,86.0,-10.00%,-15.45%,-16.29%,-7.92%,-2.97%
2026-03-19,2,601015,陕西黑猫,5.14,86.0,+5.06%,+7.00%,+7.00%,+4.47%,+0.00%
2026-03-19,3,600791,京能置业,9.29,83.7,-2.15%,-11.95%,-7.97%,-4.09%,-1.51%
2026-03-19,4,603115,海星股份,32.7,79.0,-2.60%,-2.11%,+7.68%,+11.10%,+20.73%
2026-03-19,5,603757,大元泵业,49.45,78.4,-4.65%,-13.04%,-11.97%,-10.78%,-9.81%
2026-03-20,1,603629,利通电子,61.26,86.0,-6.06%,-6.99%,+2.32%,+7.82%,+5.26%
2026-03-20,2,601015,陕西黑猫,5.4,86.0,+1.85%,+1.85%,-0.56%,-4.81%,-7.04%
2026-03-20,3,600791,京能置业,9.09,83.7,-10.01%,-5.94%,-1.98%,+0.66%,+7.59%
2026-03-20,4,603115,海星股份,31.85,79.0,+0.50%,+10.55%,+14.07%,+23.96%,+36.36%
2026-03-20,5,603757,大元泵业,47.15,78.4,-8.80%,-7.68%,-6.43%,-5.41%,-5.96%
2026-03-23,1,601015,陕西黑猫,5.5,86.0,+0.00%,-2.36%,-6.55%,-8.73%,-7.82%
2026-03-23,2,000968,蓝焰控股,11.0,77.6,-4.73%,-9.64%,-0.64%,+5.18%,-0.45%
2026-03-23,3,605169,洪通燃气,13.79,69.1,+0.80%,-0.22%,-1.45%,-1.31%,-5.51%
2026-03-23,4,605286,同力天启,46.59,68.8,+5.62%,+7.02%,+2.81%,+0.56%,-5.26%
2026-03-23,5,603538,美诺华,26.76,56.9,+10.01%,+21.00%,+33.11%,+46.41%,+61.06%
2026-03-24,1,601015,陕西黑猫,5.5,86.0,-2.36%,-6.55%,-8.73%,-7.82%,-16.00%
2026-03-24,2,000968,蓝焰控股,10.48,77.6,-5.15%,+4.29%,+10.40%,+4.48%,-1.91%
2026-03-24,3,603727,博迈科,19.56,75.6,+3.12%,+4.60%,+6.85%,+2.40%,-3.73%
2026-03-24,4,002082,ST万邦,19.79,71.9,+8.74%,+19.61%,+31.58%,+38.71%,+52.60%
2026-03-24,5,605169,洪通燃气,13.9,69.1,-1.01%,-2.23%,-2.09%,-6.26%,-12.37%
2026-03-25,1,600744,华银电力,8.99,79.6,-5.01%,-6.56%,-13.79%,-15.91%,-15.80%
2026-03-25,2,603727,博迈科,20.17,75.6,+1.44%,+3.62%,-0.69%,-6.64%,+2.73%
2026-03-25,3,002082,ST万邦,21.52,71.9,+9.99%,+21.00%,+27.56%,+40.33%,+54.28%
2026-03-25,4,600376,首开股份,5.66,68.8,-6.54%,-8.30%,-9.54%,-10.78%,-10.25%
2026-03-25,5,603017,中衡设计,13.93,68.8,+4.81%,+2.87%,+13.14%,+17.16%,+26.13%
2026-03-26,1,600744,华银电力,8.54,79.6,-1.64%,-9.25%,-11.48%,-11.36%,-11.12%
2026-03-26,2,603727,博迈科,20.46,75.6,+2.15%,-2.10%,-7.97%,+1.27%,+1.81%
2026-03-26,3,000703,恒逸石化,12.59,69.7,-1.27%,-1.91%,-3.18%,+0.71%,+1.11%
2026-03-26,4,000037,深南电A,11.99,68.8,+3.42%,-1.25%,+8.59%,-1.17%,-9.67%
2026-03-26,5,600376,首开股份,5.29,68.8,-1.89%,-3.21%,-4.54%,-3.97%,-6.99%
2026-03-27,1,600744,华银电力,8.4,79.6,-7.74%,-10.00%,-9.88%,-9.64%,-15.36%
2026-03-27,2,603727,博迈科,20.9,75.6,-4.16%,-9.90%,-0.86%,-0.33%,-4.21%
2026-03-27,3,003018,金富科技,27.78,72.0,+6.59%,+4.75%,+11.34%,+9.83%,+4.86%
2026-03-27,4,000703,恒逸石化,12.43,69.7,-0.64%,-1.93%,+2.01%,+2.41%,+3.54%
2026-03-27,5,000037,深南电A,12.4,68.8,-4.52%,+5.00%,-4.44%,-12.66%,-21.37%
2026-03-31,1,002218,拓日新能,6.93,79.0,-5.77%,-5.63%,-15.01%,-15.87%,-13.13%
2026-03-31,2,600769,祥龙电业,14.05,78.7,-0.85%,-0.57%,-2.49%,-6.48%,-1.28%
2026-03-31,3,603387,基蛋生物,10.02,78.4,+6.09%,+6.29%,+0.90%,+2.69%,+1.10%
2026-03-31,4,002471,中超控股,9.28,72.3,-4.96%,+0.86%,-9.27%,-5.71%,-2.91%
2026-03-31,5,003018,金富科技,29.1,72.0,+6.29%,+4.85%,+0.10%,-1.96%,+6.22%
2026-04-01,1,601133,柏诚股份,18.85,81.0,+0.37%,+3.34%,+13.69%,+19.05%,+30.93%
2026-04-01,2,603158,腾龙股份,12.28,80.2,-2.04%,-5.62%,-7.65%,+0.16%,+7.17%
2026-04-01,3,605287,德才股份,45.08,79.4,-8.19%,-12.98%,-14.24%,-5.66%,-3.73%
2026-04-01,4,002218,拓日新能,6.53,79.0,+0.15%,-9.80%,-10.72%,-7.81%,-11.18%
2026-04-01,5,600769,祥龙电业,13.93,78.7,+0.29%,-1.65%,-5.67%,-0.43%,+6.25%
2026-04-02,1,601133,柏诚股份,18.92,81.0,+2.96%,+13.27%,+18.60%,+30.44%,+31.61%
2026-04-02,2,603158,腾龙股份,12.03,80.2,-3.66%,-5.74%,+2.24%,+9.39%,+6.98%
2026-04-02,3,605287,德才股份,41.39,79.4,-5.22%,-6.60%,+2.75%,+4.86%,+4.57%
2026-04-02,4,002083,孚日股份,12.44,68.8,-4.66%,-3.54%,-2.33%,-3.54%,+3.05%
2026-04-02,5,603727,博迈科,20.83,68.5,-3.89%,-0.96%,-4.37%,-5.42%,-3.26%
2026-04-03,1,601133,柏诚股份,19.48,81.0,+10.01%,+15.20%,+26.69%,+27.82%,+26.03%
2026-04-03,2,603158,腾龙股份,11.59,80.2,-2.16%,+6.13%,+13.55%,+11.04%,+9.92%
2026-04-03,3,605287,德才股份,39.23,79.4,-1.45%,+8.41%,+10.63%,+10.32%,+8.36%
2026-04-03,4,603912,佳力图,9.53,78.4,+2.94%,+7.14%,+5.56%,+5.46%,+6.30%
2026-04-03,5,002083,孚日股份,11.86,68.8,+1.18%,+2.45%,+1.18%,+8.09%,+11.38%
2026-04-07,1,002491,通鼎互联,13.82,86.0,+9.99%,+16.79%,+5.57%,+7.24%,+9.19%
2026-04-07,2,600791,京能置业,11.79,82.9,+6.45%,+14.84%,+7.63%,+2.04%,+0.51%
2026-04-07,3,002637,赞宇科技,12.28,70.1,-0.90%,-2.28%,-0.98%,-0.73%,+0.33%
2026-04-07,4,600955,维远股份,18.1,69.1,+1.88%,-0.55%,-0.99%,+1.82%,+2.76%
2026-04-07,5,002831,裕同科技,35.24,65.4,+5.22%,+7.97%,+6.84%,+5.96%,+4.57%
2026-04-08,1,600791,京能置业,12.55,82.9,+7.89%,+1.12%,-4.14%,-5.58%,-5.42%
2026-04-08,2,002342,巨力索具,14.17,81.0,+10.02%,+9.39%,+15.31%,+21.03%,+29.08%
2026-04-08,3,603311,金海高科,17.41,80.2,+0.34%,+1.67%,+7.35%,+9.42%,+8.67%
2026-04-08,4,600869,远东股份,15.83,75.9,+0.95%,-1.45%,-3.85%,-4.61%,-2.84%
2026-04-08,5,603757,大元泵业,49.24,71.2,+9.99%,+11.92%,+13.51%,+13.87%,+17.55%
2026-04-09,1,600791,京能置业,13.54,82.9,-6.28%,-11.15%,-12.48%,-12.33%,-10.78%
2026-04-09,2,603090,宏盛股份,68.06,81.0,+0.21%,+5.50%,+4.47%,-1.44%,+2.37%
2026-04-09,3,603311,金海高科,17.47,80.2,+1.32%,+6.98%,+9.04%,+8.30%,+12.76%
2026-04-09,4,002718,友邦吊顶,76.11,78.4,+3.02%,-2.90%,-4.51%,-2.55%,-1.08%
2026-04-09,5,603507,振江股份,46.21,72.8,+2.23%,+1.06%,-0.35%,-2.34%,-0.74%
2026-04-10,1,600791,京能置业,12.69,82.9,-5.20%,-6.62%,-6.46%,-4.81%,-1.89%
2026-04-10,2,603090,宏盛股份,68.2,81.0,+5.28%,+4.25%,-1.64%,+2.16%,+8.37%
2026-04-10,3,603311,金海高科,17.7,80.2,+5.59%,+7.63%,+6.89%,+11.30%,+12.43%
2026-04-10,4,002718,友邦吊顶,78.41,78.4,-5.75%,-7.31%,-5.41%,-3.98%,-3.51%
2026-04-10,5,603088,宁波精达,13.44,74.4,-0.22%,+1.26%,-0.60%,+1.04%,+2.31%
2026-04-13,1,002150,正泰电源,34.48,86.6,-5.13%,-8.21%,-9.86%,-11.66%,-13.40%
2026-04-13,2,603311,金海高科,18.69,80.2,+1.93%,+1.23%,+5.40%,+6.47%,+1.44%
2026-04-13,3,002678,珠江钢琴,5.8,79.0,+1.90%,-0.86%,+1.72%,-0.69%,+0.34%
2026-04-13,4,002240,盛新锂能,44.86,79.0,+8.07%,+3.14%,+11.01%,+12.13%,+10.79%
2026-04-13,5,002718,友邦吊顶,73.9,78.4,-1.65%,+0.37%,+1.88%,+2.38%,+0.03%
2026-04-14,1,002150,正泰电源,32.71,86.6,-3.24%,-4.98%,-6.88%,-8.71%,-9.26%
2026-04-14,2,002678,珠江钢琴,5.91,79.0,-2.71%,-0.17%,-2.54%,-1.52%,+0.85%
2026-04-14,3,002240,盛新锂能,48.48,79.0,-4.56%,+2.72%,+3.75%,+2.52%,-0.06%
2026-04-14,4,002718,友邦吊顶,72.68,78.4,+2.05%,+3.59%,+4.10%,+1.71%,-0.89%
2026-04-14,5,003036,泰坦股份,26.98,78.4,+9.97%,+7.15%,+4.97%,+2.56%,+1.93%
2026-04-15,1,600032,浙江新能,9.66,82.2,+1.86%,+0.93%,+2.17%,+12.42%,+17.49%
2026-04-15,2,002149,西部材料,53.65,82.2,-0.02%,+2.14%,+12.36%,+14.32%,+19.48%
2026-04-15,3,605366,宏柏新材,13.41,80.2,+4.40%,+0.30%,+0.37%,+4.10%,+6.19%
2026-04-15,4,002240,盛新锂能,46.27,79.0,+7.63%,+8.71%,+7.41%,+4.71%,+3.74%
2026-04-15,5,000670,盈方微,8.0,77.5,+1.50%,+0.88%,+0.63%,-2.38%,-1.88%
2026-04-16,1,605287,德才股份,46.98,86.0,-3.85%,+0.36%,+3.28%,+0.62%,-2.30%
2026-04-16,2,600032,浙江新能,9.84,82.2,-0.91%,+0.30%,+10.37%,+15.35%,+22.36%
2026-04-16,3,002149,西部材料,53.64,82.2,+2.16%,+12.38%,+14.34%,+19.50%,+19.93%
2026-04-16,4,002771,真视通,18.37,80.6,+0.82%,-0.11%,-4.57%,-5.66%,-12.79%
2026-04-16,5,605366,宏柏新材,14.0,80.2,-3.93%,-3.86%,-0.29%,+1.71%,-3.50%
