日期,排名,代码,名称,T日价,评分,T+1,T+2,T+3,T+4,T+5
2026-04-02,1,603158,腾龙股份,12.03,85.5,-3.66%,-5.74%,+2.24%,+9.39%,+6.98%
2026-04-02,2,002083,孚日股份,12.44,84.5,-4.66%,-3.54%,-2.33%,-3.54%,+3.05%
2026-04-02,3,603042,华脉科技,21.76,80.2,-4.69%,+4.83%,+2.57%,+7.26%,+1.06%
2026-04-02,4,601133,柏诚股份,18.92,79.5,+2.96%,+13.27%,+18.60%,+30.44%,+31.61%
2026-04-02,5,605287,德才股份,41.39,72.4,-5.22%,-6.60%,+2.75%,+4.86%,+4.57%
2026-04-03,1,603158,腾龙股份,11.59,85.5,-2.16%,+6.13%,+13.55%,+11.04%,+9.92%
2026-04-03,2,002083,孚日股份,11.86,84.5,+1.18%,+2.45%,+1.18%,+8.09%,+11.38%
2026-04-03,3,002831,裕同科技,35.29,82.3,-0.14%,+5.07%,+7.82%,+6.69%,+5.81%
2026-04-03,4,603042,华脉科技,20.74,80.2,+9.98%,+7.62%,+12.54%,+6.03%,+6.99%
2026-04-03,5,601133,柏诚股份,19.48,79.5,+10.01%,+15.20%,+26.69%,+27.82%,+26.03%
2026-04-07,1,600791,京能置业,11.79,85.5,+6.45%,+14.84%,+7.63%,+2.04%,+0.51%
2026-04-07,2,002831,裕同科技,35.24,82.3,+5.22%,+7.97%,+6.84%,+5.96%,+4.57%
2026-04-07,3,600955,维远股份,18.1,77.3,+1.88%,-0.55%,-0.99%,+1.82%,+2.76%
2026-04-07,4,002637,赞宇科技,12.28,76.2,-0.90%,-2.28%,-0.98%,-0.73%,+0.33%
2026-04-07,5,603002,宏昌电子,10.67,74.5,+3.19%,+4.03%,+2.53%,+9.56%,+20.52%
2026-04-08,1,600791,京能置业,12.55,85.5,+7.89%,+1.12%,-4.14%,-5.58%,-5.42%
2026-04-08,2,603311,金海高科,17.41,85.5,+0.34%,+1.67%,+7.35%,+9.42%,+8.67%
2026-04-08,3,603757,大元泵业,49.24,85.2,+9.99%,+11.92%,+13.51%,+13.87%,+17.55%
2026-04-08,4,002831,裕同科技,37.08,82.3,+2.62%,+1.54%,+0.70%,-0.62%,-2.00%
2026-04-08,5,600869,远东股份,15.83,79.3,+0.95%,-1.45%,-3.85%,-4.61%,-2.84%
2026-04-09,1,603507,振江股份,46.21,94.7,+2.23%,+1.06%,-0.35%,-2.34%,-0.74%
2026-04-09,2,603090,宏盛股份,68.06,92.5,+0.21%,+5.50%,+4.47%,-1.44%,+2.37%
2026-04-09,3,002718,友邦吊顶,76.11,92.5,+3.02%,-2.90%,-4.51%,-2.55%,-1.08%
2026-04-09,4,600791,京能置业,13.54,85.5,-6.28%,-11.15%,-12.48%,-12.33%,-10.78%
2026-04-09,5,603311,金海高科,17.47,85.5,+1.32%,+6.98%,+9.04%,+8.30%,+12.76%
2026-04-10,1,000762,西藏矿业,33.88,92.5,-0.65%,+1.33%,-0.41%,+9.53%,+8.74%
2026-04-10,2,603090,宏盛股份,68.2,92.5,+5.28%,+4.25%,-1.64%,+2.16%,+8.37%
2026-04-10,3,002718,友邦吊顶,78.41,92.5,-5.75%,-7.31%,-5.41%,-3.98%,-3.51%
2026-04-10,4,001287,中电港,26.42,89.5,+2.01%,+1.40%,+3.67%,+4.43%,+2.08%
2026-04-10,5,600791,京能置业,12.69,85.5,-5.20%,-6.62%,-6.46%,-4.81%,-1.89%
2026-04-13,1,002240,盛新锂能,44.86,92.8,+8.07%,+3.14%,+11.01%,+12.13%,+10.79%
2026-04-13,2,000762,西藏矿业,33.66,92.5,+1.99%,+0.24%,+10.25%,+9.45%,+6.95%
2026-04-13,3,002718,友邦吊顶,73.9,92.5,-1.65%,+0.37%,+1.88%,+2.38%,+0.03%
2026-04-13,4,001287,中电港,26.95,89.5,-0.59%,+1.63%,+2.37%,+0.07%,+2.89%
2026-04-13,5,603897,长城科技,39.8,86.0,+4.90%,+12.54%,+23.79%,+26.41%,+24.07%
2026-04-14,1,002240,盛新锂能,48.48,92.8,-4.56%,+2.72%,+3.75%,+2.52%,-0.06%
2026-04-14,2,000762,西藏矿业,34.33,92.5,-1.72%,+8.10%,+7.31%,+4.86%,+3.64%
2026-04-14,3,002718,友邦吊顶,72.68,92.5,+2.05%,+3.59%,+4.10%,+1.71%,-0.89%
2026-04-14,4,003036,泰坦股份,26.98,87.0,+9.97%,+7.15%,+4.97%,+2.56%,+1.93%
2026-04-14,5,603897,长城科技,41.75,86.0,+7.28%,+18.01%,+20.50%,+18.28%,+19.88%
2026-04-15,1,002149,西部材料,53.65,93.2,-0.02%,+2.14%,+12.36%,+14.32%,+19.48%
2026-04-15,2,002240,盛新锂能,46.27,92.8,+7.63%,+8.71%,+7.41%,+4.71%,+3.74%
2026-04-15,3,000762,西藏矿业,33.74,92.5,+9.99%,+9.19%,+6.70%,+5.45%,+10.40%
2026-04-15,4,603897,长城科技,44.79,86.0,+10.00%,+12.32%,+10.25%,+11.74%,+12.50%
2026-04-15,5,605366,宏柏新材,13.41,85.5,+4.40%,+0.30%,+0.37%,+4.10%,+6.19%
2026-04-16,1,002149,西部材料,53.64,93.2,+2.16%,+12.38%,+14.34%,+19.50%,+19.93%
2026-04-16,2,002240,盛新锂能,49.8,92.8,+1.00%,-0.20%,-2.71%,-3.61%,-7.03%
2026-04-16,3,603985,恒润股份,24.48,88.5,+0.25%,-1.88%,-1.76%,+3.80%,-0.49%
2026-04-16,4,002771,真视通,18.37,85.7,+0.82%,-0.11%,-4.57%,-5.66%,-12.79%
2026-04-16,5,605366,宏柏新材,14.0,85.5,-3.93%,-3.86%,-0.29%,+1.71%,-3.50%
2026-04-17,1,002149,西部材料,54.8,93.2,+10.00%,+11.92%,+16.97%,+17.39%,+5.66%
